Item,Individual Cost,Quantity,Total Cost (Includes shipping),Links,Notes
Repeat 2836 Weapon Motor,20,1,20,https://repeat-robotics.com/collections/weapon-systems/products/repeat-2836-brushless-motor,
Dual AM32 ESC,45,1,45,https://repeat-robotics.com/buy/repeat-am32-dual-brushless-drive-esc/,
XR2 Receiver,9.99,1,9.99,https://radiomasterrc.com/products/xr2-nano-2-4ghz-expresslrs-receiver,
XT30 Connectors,4.89,1(Pack of 5),4.89,https://www.amazon.com/TMH-Connector-High-Temp-Gold-Plated-Connections/dp/B0F5PYSTNG/ref=sr_1_3?dib=eyJ2IjoiMSJ9.PkNWKErx9jUlGtn184UPbvdeLfXqXtoLbUyBf5Z35LG51N69vbVQcaRyXoxnKjgQCDDiu17WDhGM5EZUsT6NvJwwPWNI1m6lYunazdW09_1kKcSOClfd7wreoz-xuw97QPeUpwW24fp5xT1Zb0WrJ5N8BNG1DLFWIpwi51F6KnQq86PFP8-S6-yIgFl9W_dDlG0d52qjJcCZcobW3K1iFa-I01-6Ot_dHDq2VnLaEMb0fb_5Aj63hx6jk7JMtdWwPmTN0aRKdskLNaBsS-Qz3pLr6gowerSMfgGCBuuHDeU.Iix32Z66d7g84je52dd3ER8MYEa5gxTspt7wI-Ij8ZA&dib_tag=se&keywords=xt30+connector&qid=1753474682&refinements=p_36%3A-1100&rnid=386491011&sr=8-3,*Using to plug in battery and make a removable link as it is cheaper than a switch
6s 850mAh Battery,42.35,1,42.35,https://pyrodrone.com/products/gaoneng-gnb-850mah-22-8v-6s-hv-120c-lipo-battery-xt30?srsltid=AfmBOoqI6d7i-dg4gHmdsP3L_C_klbIXSt1hoR-ycXoVerjTww01liVV,
Lynx Switch,12.5,1,12.5,https://repeat-robotics.com/collections/electronics/products/lynx-anti-spark-switch,
"#4 x 3/8"" Plastite",6.38,1 (pack of 50),6.38,https://www.mcmaster.com/99512A657,
M3x12mm Screw,N/A,10,N/A,N/A,*Already have
Weapon Bearing,5.69,1 (pack of 5),5.69,https://www.amazon.com/Kozelo-Bearing-10x19x5mm-Industrial-Equipment/dp/B0CXXHR32R/ref=sr_1_2?crid=2JVWO9R5JEYP1&dib=eyJ2IjoiMSJ9.8R_aOB_0vI-xYeajWtheosXYZXBdqpdcmlkyxkTNd4pEaTrBti32GCQ_hw6xWxcnSEZSN6YtOBXuMk7FYLau4cSIekEhVRadRzbSaXta9_HLHxzWmC82t-BC3bgErDGxCM2g1yFQaYYDGghls14GNxfBylRtU1ThuztLgWuIKHyAasmXdZw6-stXVWvIdMZXClp3dqrKvYZTxDfu7psVfSZqB_1CyfOVFqgIGtu9DSg.chaQaE4TqYh9OVmxu1UNgxPUZbcLkCUFX4ZJR0tDX7E&dib_tag=se&keywords=f6800zz&qid=1764977544&sprefix=f6800zz%2Caps%2C124&sr=8-2&th=1,
Uprights and Top/Bottom Plates  (one of each plate),50.03,1,50.03,https://shop.robotsmashingleague.com/products/custom-cnc-item,*Quoted from RSL
Weapon,134.21,1,134.21,https://www.ltc-proto.com/,*Quoted from LTCentury Prototype
Weapon ESC (Flycolor Raptor 5 50A),30.14,1,30.14,https://www.aliexpress.us/item/3256804103919523.html?gatewayAdapt=glo2usa4itemAdapt,
Repeat Tangent 2207.5,25,2,50,https://repeat-robotics.com/products/repeat-tangent-drive-motors,
Weapon Shaft,12.5,1,12.5,https://repeat-robotics.com/products/repeat-beater-bar-parts?variant=52034754674869,
Weapon Shaft Frame Inserts,12.5,1 pair,12.5,https://repeat-robotics.com/products/repeat-beater-bar-parts?variant=52034754511029,
Round Standoffs,0.71,4,2.84,https://www.mcmaster.com/93330A447/,
Hex Standoffs,0.72,6,4.32,https://www.mcmaster.com/91780A335/,
Drive Axle,6,2 pairs,12,https://repeat-robotics.com/products/repeat-drive-axle-mk2-2pcs?variant=52037151031477,
Wheels,1.5825,4,6.33,https://store.bricklink.com/debbaade1?itemID=275622573#/shop?o={%22invID%22:%22275622573%22},*Shipping adds to the price significantly above what is listed online
Drive Bushing,0.63,4,2.52,https://www.mcmaster.com/6391K331/,
Drive Belt,2.97,2,5.94,7.47,
6-32 Screws,7.47,1 (pack of 25),7.47,https://www.mcmaster.com/92360A138/,
Forks,6.03,2,12.06,https://sendcutsend.com/?srsltid=AfmBOooo2Sh5oBlqTcUdTT9RDB4ewwuDStq1woN6NrktkuIrZwygGQJR,*Quoted from SendCutSend
,,,,,
TPU 95A Filament,N/A,1kg,N/A,N/A,*Already Have
,,,,,
Battery Charger,N/A,N/A,N/A,N/A,*Already have
Transmitter,N/A,N/A,N/A,N/A,*Already have
,,,,,
Testing Cage,N/A,N/A,N/A,N/A,*Have access to one through my school's combat robotics team
,,,,,
Total,N/A,N/A,489.66,N/A,